id,name,description,parent_id
1,Electronics,"Forward generation section guess. Couple coach run mother him. Ask media left even section offer.
They class staff method. Again modern last day happen identify. Interest these medical analysis.",NULL
2,Clothing,"Player smile security doctor. Customer security if college relationship. Cup hotel find certain far just choice.
Tax TV yourself. Quickly study style rest example money ask.",NULL
3,"Home & Kitchen","Green notice through parent buy what cup. Soon leave entire radio card officer.
Such seven firm federal memory. Turn approach alone better.",NULL
4,Books,"Leader better room send. Senior professor see.
Factor hand possible. Gas forward experience. Middle position now scientist goal foot.",NULL
5,Sports,"Add improve specific his contain charge indeed. Prepare common safe happy tough sport none. Away side reveal party here guess share.",NULL
6,Smartphones,"Person machine grow effort this. Modern level road author. Job through baby tough product.",1
7,Laptops,"Could best audience order partner. Campaign eye physical.
Above power will what to side.",1
8,Tablets,"Two clear indicate bad condition issue. Message shoulder never voice argue fight. Pm similar born win thus from phone. Life democratic hospital prepare each model child.",1
9,Accessories,"Risk rule evening. Her learn they bill language discuss range. Two garden not office others after.
List reduce white group town success cup. Effect thank claim western eight sort word.",1
10,Men,"Last often Mr team. Military tonight sea actually foreign. Turn answer story recent situation.
Special until newspaper simply. Top moment but economy production. Garden member car court defense.",2
11,Women,"Within summer simply police set. Price unit sort score least year.",2
12,Kids,"Which certainly across right act story certainly. Forget my ball. Under any life third challenge president local.
Phone teach real win within. Agreement growth turn affect short low federal so.",2
13,Accessories,"Hand behavior want family fast past model. Prepare back step decide writer woman check certainly.",2
14,Furniture,"That it air animal until gas. Artist enough eye author often.
Before situation walk live senior various. Pretty arrive role. Recent pattern already ok decide service world.",3
15,Appliances,"Kid night hair capital simple certainly. Mean soon building. Response happy soon fire upon middle outside thousand.",3
16,Cookware,"Degree major group argue material off hot. Next technology understand daughter add.",3
17,Decor,"Accept push garden. Recent own particularly. Government economy Mrs represent she.
Opportunity treat sense cut hear really. Sort compare full factor.",3
18,Fiction,"Base walk property claim. Fund forget fear data. Democratic rise check race tough car.
So maintain or sell. Prove nice others structure.",4
19,Non-Fiction,"Water break meeting doctor condition evening grow. Impact wife interesting scene how bag her. Nature hundred everyone house foot some.",4
20,Educational,"Land word on discover think agreement child. Though kid move identify knowledge something finally.",4
21,Children,"Black your agree according worker red draw. Could including together push single while.
City share institution above quickly candidate throw. Such part dog describe.",4
22,Fitness,"City capital hundred loss prevent hard. Weight investment receive hundred medical hospital tax. This house news team.",5
23,Outdoor,"Meet statement project crime family five. Fund point matter while direction wear air argue.",5
24,"Team Sports","Official require spring wife. To artist visit seat government doctor hit institution.
Fund police learn require whom. Attack because himself enough. Team face successful alone range local.",5
25,Equipment,"Letter arrive section always. Open movie create.
Authority foot student growth. From animal team audience specific.",5
